username,date,login_count,failed_login_count,after_hours_login_count,file_access_count,unusual_dir_access_count,file_write_count,usb_connection_count,emails_sent_count,personal_emails_sent_count,large_attachments_sent_count
alex.doe,2025-07-01,1,0,0,0,0,0,0,6,0,0
alex.doe,2025-07-02,1,0,0,16,0,0,0,0,0,0
alex.doe,2025-07-03,1,0,0,0,0,0,0,4,0,0
alex.doe,2025-07-04,1,0,0,9,0,0,0,0,0,0
alex.doe,2025-07-07,2,1,0,0,0,0,0,0,0,0
alex.doe,2025-07-08,1,0,0,10,0,0,0,0,0,0
alex.doe,2025-07-09,1,0,0,9,0,0,0,7,0,0
alex.doe,2025-07-10,1,0,0,0,0,0,0,3,0,0
alex.doe,2025-07-11,1,0,0,13,0,0,0,9,0,0
alex.doe,2025-07-15,1,0,0,12,0,0,0,5,0,0
alex.doe,2025-07-16,1,0,0,0,0,0,0,4,0,0
alex.doe,2025-07-17,1,0,0,19,0,0,0,3,0,0
alex.doe,2025-07-18,2,1,0,15,0,0,0,0,0,0
alex.doe,2025-07-21,1,0,0,0,0,0,0,8,0,0
alex.doe,2025-07-22,1,0,0,15,0,0,0,0,0,0
alex.doe,2025-07-23,1,0,0,12,0,0,0,4,0,0
alex.doe,2025-07-24,1,0,0,0,0,0,0,0,0,0
alex.doe,2025-07-25,1,0,0,8,0,0,0,0,0,0
alex.doe,2025-07-28,1,0,0,0,0,0,0,0,0,0
alex.doe,2025-07-29,1,0,0,0,0,0,0,0,0,0
alex.doe,2025-07-30,1,0,0,5,0,0,0,6,0,0
alex.doe,2025-07-31,1,0,0,17,0,0,0,7,0,0
alex.doe,2025-08-01,1,0,0,7,0,0,0,4,0,0
alex.doe,2025-08-04,1,0,0,0,0,0,0,0,0,0
alex.doe,2025-08-05,1,0,0,19,0,0,0,4,0,0
alex.doe,2025-08-06,1,0,0,16,0,0,0,8,0,0
alex.doe,2025-08-08,1,0,0,0,0,0,0,3,0,0
alex.doe,2025-08-11,1,0,0,14,0,0,0,4,0,0
alex.doe,2025-08-12,1,0,0,15,0,0,0,9,0,0
alex.doe,2025-08-13,2,1,0,5,0,0,0,4,0,0
alex.doe,2025-08-14,1,0,0,17,0,0,0,0,0,0
alex.doe,2025-08-15,2,1,1,5,0,0,0,1,0,0
alex.doe,2025-08-18,1,0,0,17,0,0,0,9,0,0
alex.doe,2025-08-20,1,0,0,11,0,0,0,6,0,0
alex.doe,2025-08-21,1,0,0,0,0,0,0,0,0,0
alex.doe,2025-08-22,1,0,0,19,0,0,0,2,0,0
alex.doe,2025-08-25,1,0,0,10,0,0,0,1,0,0
alex.doe,2025-08-26,1,0,0,10,0,0,0,1,0,0
alex.doe,2025-08-27,1,0,0,7,0,0,0,5,0,0
