timestamp,username,action,success
2025-07-01 08:08:00,james.gross,login,True
2025-07-01 08:12:00,julie.cervantes,login,True
2025-07-01 08:13:00,molly.williams,login,True
2025-07-01 08:33:00,jerry.tyler,login,True
2025-07-01 08:33:00,dana.duncan,login,True
2025-07-01 08:51:00,mrs..heather.robertson,login,True
2025-07-01 08:55:00,ronald.butler,login,True
2025-07-01 09:02:00,steven.johns,login,True
2025-07-01 09:02:00,keith.terry,login,True
2025-07-01 09:06:00,joshua.payne,login,True
2025-07-01 09:08:00,susan.snyder,login,True
2025-07-01 09:10:00,alex.doe,login,True
2025-07-01 09:16:00,amanda.wolfe,login,True
2025-07-01 09:19:00,christina.ortega,login,True
2025-07-01 09:20:00,jasmine.mendez,login,True
2025-07-01 09:25:00,michelle.perez,login,True
2025-07-01 09:27:00,kevin.guzman,login,True
2025-07-01 09:29:00,bradley.whitney,login,True
2025-07-01 09:29:00,latoya.griffith,login,True
2025-07-01 09:29:00,douglas.hunt,login,True
2025-07-01 09:30:00,lisa.garcia,login,True
2025-07-01 09:32:00,jose.howard,login,True
2025-07-01 09:33:00,vincent.bowman,login,True
2025-07-01 09:41:00,renee.flores,login,True
2025-07-01 09:47:00,cindy.beard,login,True
2025-07-01 09:53:00,jacob.collins,login,True
2025-07-01 09:57:00,wesley.morgan,login,True
2025-07-01 10:04:00,paula.church,login,True
2025-07-01 10:06:00,nicholas.page,login,True
2025-07-01 10:19:00,deanna.boyle,login,True
2025-07-01 10:21:00,pamela.adams,login,True
2025-07-01 10:21:00,shelly.scott,login,True
2025-07-01 10:26:00,joseph.alvarez,login,True
2025-07-01 10:27:00,stephen.ellis,login,True
2025-07-01 10:29:00,victoria.garrett,login,True
2025-07-01 10:34:00,joanna.wood,login,True
2025-07-01 10:35:00,angela.montgomery,login,True
2025-07-01 10:38:00,scott.spencer,login,True
2025-07-01 10:41:00,george.york,login,True
2025-07-01 10:45:00,thomas.thompson,login,True
2025-07-01 10:54:00,charles.kirk,login,True
2025-07-01 10:57:00,kimberly.gonzalez,login,True
2025-07-01 16:50:00,julie.cervantes,logout,True
2025-07-01 16:59:00,james.gross,logout,True
2025-07-01 17:01:00,molly.williams,logout,True
2025-07-01 17:17:00,susan.snyder,logout,True
2025-07-01 17:34:00,bradley.whitney,logout,True
2025-07-01 17:42:00,kevin.guzman,logout,True
2025-07-01 17:43:00,amanda.wolfe,logout,True
2025-07-01 18:01:00,jasmine.mendez,logout,True
2025-07-01 18:06:00,mrs..heather.robertson,logout,True
2025-07-01 18:08:00,alex.doe,logout,True
